Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,ArrDelay,15minArrDelay
y,2016,108819,4.872908157149838,0.36469566493491806,0.05616374586960523,0.25818651160720624,0.00103688395921269,0.3199171936290578,0.12141262095773717,0.0036390703829294515,0.0033266249460112665,0.7605797513995636,0.1409310846995819
m,1,95,-4.223404255319149,0.31447963800904977,0.0,0.6855203619909502,0.0,0.0,0.05263157894736842,0.010526315789473684,0.0,-11.795698924731182,0.10638297872340426
m,2,86,-2.941860465116279,0.7014925373134329,0.04776119402985075,0.15522388059701492,0.0,0.0955223880597015,0.046511627906976744,0.0,0.03488372093023256,-7.744186046511628,0.12643678160919541
m,3,104,2.9326923076923075,0.45310734463276836,0.22259887005649717,0.061016949152542375,0.0,0.2632768361581921,0.057692307692307696,0.0,0.019230769230769232,-1.2427184466019416,0.16346153846153846
m,4,88,0.7045454545454546,0.26598837209302323,0.0,0.09011627906976744,0.0,0.6438953488372093,0.06818181818181818,0.0,0.011363636363636364,-4.8023255813953485,0.10344827586206896
m,5,88,-5.761363636363637,0.7621951219512195,0.0,0.042682926829268296,0.0,0.1951219512195122,0.03409090909090909,0.0,0.0,-8.03448275862069,0.03409090909090909
m,6,12,-10.083333333333334,,,,,,0.0,0.0,0.0,-12.9,0.0
m,11,60,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,-11.65,0.08333333333333333
m,12,73,24.945205479452056,0.2606464853771165,0.3124679322729605,0.14109799897383274,0.0,0.2857875833760903,0.2602739726027397,0.0,0.0410958904109589,2.808219178082192,0.25333333333333335
d,1,71,11.647887323943662,0.32277081798084006,0.3846720707442889,0.07737656595431099,0.0,0.21518054532056005,0.08450704225352113,0.0,0.0,2.7282608695652173,0.21505376344086022
d,2,84,-1.4047619047619047,0.6269315673289183,0.06181015452538632,0.31125827814569534,0.0,0.0,0.07142857142857142,0.0,0.023809523809523808,-5.928571428571429,0.13095238095238096
d,3,103,1.4174757281553398,0.7107558139534884,0.0,0.11627906976744186,0.0,0.17296511627906977,0.08737864077669903,0.0,0.009708737864077669,-7.833333333333333,0.10810810810810811
d,4,64,1.8888888888888888,0.32972136222910214,0.30495356037151705,0.09907120743034056,0.0,0.26625386996904027,0.0625,0.015625,0.0,-10.554347826086957,0.07608695652173914
d,5,106,-0.8301886792452831,0.2393617021276596,0.10460992907801418,0.21808510638297873,0.0,0.4379432624113475,0.09433962264150944,0.0,0.018867924528301886,-7.204819277108434,0.09411764705882353
d,6,75,4.546666666666667,0.341991341991342,0.0,0.13275613275613277,0.0,0.5252525252525253,0.12,0.0,0.02666666666666667,-10.35483870967742,0.09473684210526316
d,7,103,-2.9805825242718447,0.21238938053097345,0.0471976401179941,0.4365781710914454,0.0,0.30383480825958703,0.04854368932038835,0.0,0.019417475728155338,-3.451219512195122,0.13414634146341464
h,0600-0659,193,3.96875,0.4036791006642821,0.3955033214103219,0.200817577925396,0.0,0.0,0.06217616580310881,0.0051813471502590676,0.0,,
h,0700-0759,10,20.0,0.7859531772575251,0.0,0.2140468227424749,0.0,0.0,0.1,0.0,0.0,2.4545454545454546,0.23214285714285715
h,0800-0859,8,13.5,0.3793103448275862,0.0,0.6206896551724138,0.0,0.0,0.375,0.0,0.125,-24.25,0.0
h,0900-0959,156,-4.846153846153846,0.558983666061706,0.0,0.07078039927404718,0.0,0.3702359346642468,0.05128205128205128,0.0,0.00641025641025641,-5.680981595092025,0.0975609756097561
h,1000-1059,32,5.34375,1.0,0.0,0.0,0.0,0.0,0.15625,0.0,0.0625,-17.960526315789473,0.16883116883116883
h,1100-1159,34,-4.647058823529412,0.30985915492957744,0.0,0.6901408450704225,0.0,0.0,0.029411764705882353,0.0,0.08823529411764706,9.321428571428571,0.25
h,1200-1259,10,-4.2,0.17391304347826086,0.0,0.8260869565217391,0.0,0.0,0.0,0.0,0.0,3.1901840490797544,0.12727272727272726
h,1500-1559,56,11.0,0.30089485458612975,0.035794183445190156,0.040268456375838924,0.0,0.6230425055928411,0.19642857142857142,0.0,0.0,-15.602739726027398,0.02702702702702703
h,1700-1759,32,0.5,0.0,0.10810810810810811,0.2635135135135135,0.0,0.6283783783783784,0.15625,0.0,0.0625,-29.677419354838708,0.0625
h,1800-1859,75,0.04,0.22887864823348694,0.0,0.09062980030721966,0.0,0.6804915514592934,0.04,0.0,0.0,,
