Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,ArrDelay,15minArrDelay
y,2016,108819,4.872908157149838,0.36469566493491806,0.05616374586960523,0.25818651160720624,0.00103688395921269,0.3199171936290578,0.12141262095773717,0.0036390703829294515,0.0033266249460112665,0.7605797513995636,0.1409310846995819
m,1,3,-8.666666666666666,,,,,,0.0,0.0,0.0,-23.666666666666668,0.0
m,4,17,11.823529411764707,0.036585365853658534,0.0,0.0,0.0,0.9634146341463414,0.058823529411764705,0.0,0.0,0.7647058823529411,0.058823529411764705
m,5,30,31.5,0.028028028028028028,0.024024024024024024,0.4934934934934935,0.0,0.4544544544544545,0.3,0.0,0.0,6.233333333333333,0.16666666666666666
m,6,29,0.2413793103448276,0.24,0.0,0.76,0.0,0.0,0.10344827586206896,0.0,0.0,-11.689655172413794,0.06896551724137931
m,7,29,3.793103448275862,0.0658682634730539,0.00998003992015968,0.5788423153692615,0.0,0.34530938123752497,0.1724137931034483,0.0,0.0,8.551724137931034,0.20689655172413793
m,8,30,9.7,0.0,0.0,0.14411764705882352,0.0,0.8558823529411764,0.16666666666666666,0.0,0.0,5.566666666666666,0.23333333333333334
m,9,29,9.464285714285714,0.0,0.13595166163141995,0.0513595166163142,0.0,0.8126888217522659,0.20689655172413793,0.034482758620689655,0.0,5.428571428571429,0.13793103448275862
m,10,28,27.64,0.1857707509881423,0.02766798418972332,0.10276679841897234,0.0,0.6837944664031621,0.21428571428571427,0.10714285714285714,0.0,7.92,0.10714285714285714
d,1,25,12.64,0.16666666666666666,0.0,0.3620689655172414,0.0,0.47126436781609193,0.2,0.0,0.0,-6.0,0.16
d,2,28,28.178571428571427,0.019441069258809233,0.0,0.12515188335358446,0.0,0.8554070473876063,0.2857142857142857,0.0,0.0,32.42857142857143,0.32142857142857145
d,3,27,6.62962962962963,0.45787545787545786,0.16483516483516483,0.37362637362637363,0.0,0.003663003663003663,0.25925925925925924,0.0,0.0,-16.296296296296298,0.037037037037037035
d,4,29,11.857142857142858,0.018796992481203006,0.0,0.7142857142857143,0.0,0.2669172932330827,0.20689655172413793,0.034482758620689655,0.0,7.821428571428571,0.13793103448275862
d,5,29,13.925925925925926,0.016913319238900635,0.09513742071881606,0.08668076109936575,0.0,0.8012684989429175,0.13793103448275862,0.06896551724137931,0.0,-1.8148148148148149,0.034482758620689655
d,6,29,12.535714285714286,0.022556390977443608,0.0,0.05263157894736842,0.0,0.924812030075188,0.06896551724137931,0.034482758620689655,0.0,-6.535714285714286,0.06896551724137931
d,7,28,5.035714285714286,0.007444168734491315,0.01240694789081886,0.5235732009925558,0.0,0.456575682382134,0.10714285714285714,0.0,0.0,8.928571428571429,0.25
h,0900-0959,49,9.081632653061224,0.07130434782608695,0.0,0.04,0.0,0.888695652173913,0.08163265306122448,0.0,0.0,-6.551282051282051,0.0759493670886076
h,1000-1059,45,7.5,0.2958057395143488,0.1456953642384106,0.19646799116997793,0.0,0.3620309050772627,0.2,0.06666666666666667,0.0,-29.076923076923077,0.0
h,1500-1559,16,28.875,0.053763440860215055,0.05161290322580645,0.3827956989247312,0.0,0.5118279569892473,0.3125,0.0,0.0,4.1875,0.125
h,2000-2059,45,19.272727272727273,0.011806375442739079,0.0,0.08264462809917356,0.0,0.9055489964580874,0.17777777777777778,0.022222222222222223,0.0,15.95945945945946,0.21333333333333335
h,2100-2159,40,10.35,0.020856201975850714,0.005488474204171241,0.6849615806805708,0.0,0.28869374313940727,0.225,0.0,0.0,19.6,0.4
