Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,721.0,12.544285714285714,0.29211798033661057,0.004749208465255791,0.19938343609398435,0.0,0.5037493751041493,0.22052704576976423,0.02912621359223301,0.006934812760055479,731.0,5.3590844062947065,0.19151846785225718
m,1,60.0,15.706896551724139,0.14751286449399656,0.0,0.1758147512864494,0.0,0.676672384219554,0.23333333333333334,0.03333333333333333,0.0,62.0,13.89655172413793,0.24193548387096775
m,2,58.0,10.092592592592593,0.12121212121212122,0.0707070707070707,0.19047619047619047,0.0,0.6176046176046176,0.1896551724137931,0.06896551724137931,0.0,58.0,8.24074074074074,0.1724137931034483
m,3,62.0,11.066666666666666,0.19619326500732065,0.0,0.08199121522693997,0.0,0.7218155197657394,0.24193548387096775,0.03225806451612903,0.03225806451612903,62.0,5.933333333333334,0.1774193548387097
m,4,60.0,13.283333333333333,0.4547996272134203,0.0,0.10624417520969245,0.0,0.43895619757688725,0.2,0.0,0.0,60.0,2.9322033898305087,0.16666666666666666
m,5,62.0,9.516129032258064,0.07361376673040153,0.0,0.25621414913957935,0.0,0.6701720841300192,0.14516129032258066,0.0,0.016129032258064516,62.0,2.725806451612903,0.11290322580645161
m,6,60.0,17.03448275862069,0.13851080864691753,0.0,0.21937550040032025,0.0,0.6421136909527622,0.31666666666666665,0.03333333333333333,0.0,60.0,10.298245614035087,0.3
m,7,61.0,32.6271186440678,0.32179645653069633,0.003296250515039143,0.2550473836011537,0.0,0.41985990935311085,0.39344262295081966,0.03278688524590164,0.0,62.0,12.189655172413794,0.3064516129032258
m,8,62.0,26.59016393442623,0.4397810218978102,0.0,0.12287104622871046,0.0,0.4373479318734793,0.41935483870967744,0.016129032258064516,0.0,62.0,15.387096774193548,0.4032258064516129
m,9,58.0,-1.0689655172413792,0.042105263157894736,0.0,0.4442105263157895,0.0,0.5136842105263157,0.1206896551724138,0.0,0.017241379310344827,60.0,-1.9322033898305084,0.13333333333333333
m,10,59.0,1.8518518518518519,0.6004728132387707,0.0,0.30969267139479906,0.0,0.08983451536643026,0.11864406779661017,0.0847457627118644,0.01694915254237288,62.0,-9.037037037037036,0.04838709677419355
m,11,58.0,2.3620689655172415,0.3767605633802817,0.0,0.0,0.0,0.6232394366197183,0.10344827586206896,0.0,0.0,59.0,1.396551724137931,0.0847457627118644
m,12,61.0,9.724137931034482,0.5876042908224076,0.0,0.21573301549463647,0.0,0.1966626936829559,0.14754098360655737,0.04918032786885246,0.0,62.0,1.206896551724138,0.14516129032258066
d,1,104.0,12.529411764705882,0.2549969715324046,0.012113870381586917,0.14778921865536038,0.0,0.5850999394306481,0.22115384615384615,0.019230769230769232,0.009615384615384616,104.0,5.9411764705882355,0.19230769230769232
d,2,100.0,20.8265306122449,0.3308766485647789,0.011249030256012413,0.11947245927075252,0.0,0.5384018619084562,0.25,0.02,0.01,104.0,7.989690721649485,0.21153846153846154
d,3,103.0,6.3,0.19331243469174503,0.0010449320794148381,0.16091954022988506,0.0,0.644723092998955,0.1941747572815534,0.02912621359223301,0.0,104.0,1.7623762376237624,0.15384615384615385
d,4,102.0,14.072164948453608,0.18204868154158216,0.0035496957403651115,0.25557809330628806,0.0,0.5588235294117647,0.18627450980392157,0.049019607843137254,0.00980392156862745,103.0,8.0,0.17475728155339806
d,5,105.0,17.514563106796118,0.334938704028021,0.0,0.23686514886164622,0.0,0.42819614711033277,0.2857142857142857,0.01904761904761905,0.0,106.0,8.715686274509803,0.27358490566037735
d,6,104.0,10.525252525252526,0.2872555630478759,0.0,0.2677006068779501,0.0,0.445043830074174,0.20192307692307693,0.04807692307692308,0.009615384615384616,106.0,5.928571428571429,0.19811320754716982
d,7,103.0,6.148514851485149,0.46146703806870937,0.0,0.22748375116063138,0.0,0.3110492107706592,0.20388349514563106,0.019417475728155338,0.009708737864077669,104.0,-0.5784313725490197,0.1346153846153846
h,1100-1159,51.0,-6.428571428571429,0.19230769230769232,0.0,0.8076923076923077,0.0,0.0,0.058823529411764705,0.0392156862745098,0.0196078431372549,0.0,0.0,0.0
h,1200-1259,62.0,9.327868852459016,0.7021897810218978,0.0,0.23795620437956205,0.0,0.059854014598540145,0.0967741935483871,0.016129032258064516,0.0,157.0,10.406666666666666,0.2356687898089172
h,1300-1359,51.0,5.346938775510204,0.4219858156028369,0.0,0.2730496453900709,0.0,0.3049645390070922,0.1568627450980392,0.0392156862745098,0.0,84.0,2.6666666666666665,0.16666666666666666
h,1600-1659,195.0,14.60846560846561,0.2314133468662776,0.0020299416391778738,0.19791930981984268,0.0,0.5686374016747019,0.2358974358974359,0.03076923076923077,0.005128205128205128,0.0,0.0,0.0
h,1700-1759,114.0,9.232142857142858,0.34175084175084175,0.0,0.14758698092031425,0.0,0.510662177328844,0.17543859649122806,0.017543859649122806,0.02631578947368421,0.0,0.0,0.0
h,1800-1859,238.0,19.08695652173913,0.25711318795430943,0.010176531671858774,0.1885773624091381,0.0,0.5441329179646937,0.31512605042016806,0.03361344537815126,0.0,0.0,0.0,0.0
h,1900-1959,10.0,8.0,0.03529411764705882,0.0,0.23529411764705882,0.0,0.7294117647058823,0.1,0.0,0.0,0.0,0.0,0.0
h,0700-0759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,-10.938775510204081,0.03773584905660377
h,0900-0959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,-2.3603603603603602,0.08620689655172414
h,1400-1459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,11.394736842105264,0.2911392405063291
h,1500-1559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,6.634615384615385,0.1901840490797546
